,name,team,completed_passes,attempted_passes,passing_yards,passing_touchdowns,interceptions_thrown,times_sacked,yards_lost_from_sacks,longest_pass,quarterback_rating,rush_attempts,rush_yards,rush_touchdowns,longest_rush,times_pass_target,receptions,receiving_yards,receiving_touchdowns,longest_reception,fumbles,fumbles_lost,interceptions,yards_returned_from_interception,interceptions_returned_for_touchdown,longest_interception_return,passes_defended,sacks,combined_tackles,solo_tackles,assists_on_tackles,tackles_for_loss,quarterback_hits,fumbles_recovered,yards_recovered_from_fumble,fumbles_recovered_for_touchdown,fumbles_forced,kickoff_returns,kickoff_return_yards,average_kickoff_return_yards,kickoff_return_touchdown,longest_kickoff_return,punt_returns,punt_return_yards,yards_per_punt_return,punt_return_touchdown,longest_punt_return,extra_points_made,extra_points_attempted,field_goals_made,field_goals_attempted,punts,total_punt_yards,yards_per_punt,longest_punt,season
MahoPa00,Patrick Mahomes,kan,26,49,270,0,2,3,27,33,52.3,5,33,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
EdwaCl00,Clyde Edwards-Helaire,kan,0,0,0,0,0,0,0,0,,9,64,0,26,3,2,23,0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
HillTy00,Tyreek Hill,kan,0,0,0,0,0,0,0,0,,1,5,0,5,10,7,73,0,23,0,0,,,,,,,,,,,,,,,,0,0,,0,0,1,0,0.0,0,0,,,,,,,,,2020.0
WillDa10,Darrel Williams,kan,0,0,0,0,0,0,0,0,,2,5,0,3,7,2,10,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
KelcTr00,Travis Kelce,kan,0,0,0,0,0,0,0,0,,0,0,0,0,15,10,133,0,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
WatkSa00,Sammy Watkins,kan,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
RobiDe01,Demarcus Robinson,kan,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
HardMe00,Mecole Hardman,kan,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
PrinBy00,Byron Pringle,kan,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,,,,,,,,,,,,,,,,3,87,29.0,0,41,0,0,,0,0,,,,,,,,,2020.0
ClarFr01,Frank Clark,kan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.0,4,2,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
WilsDa02,Damien Wilson,kan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,10,6,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
NiemBe00,Ben Niemann,kan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
SoreDa01,Daniel Sorensen,kan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
JoneCh09,Chris Jones,kan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
NnadDe00,Derrick Nnadi,kan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
WardCh01,Charvarius Ward,kan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2020.0
