,stat,description
0,passing_att,
1, passing_cmp,
2, passing_yds,
3, passing_tds,
4, passing_ints,
5, passing_twopta,
6, passing_twoptm,
7, rushing_att,
8, rushing_yds,
9, rushing_tds,
10, rushing_lng,
11, rushing_lngtd,
12, rushing_twopta,
13, rushing_twoptm,
14, receiving_rec,
15, receiving_yds,
16, receiving_tds,
17, receiving_lng,
18, receiving_lngtd,
19, receiving_twopta,
20, receiving_twoptm,
21, puntret_ret,
22, puntret_avg,
23, puntret_tds,
24, puntret_lng,
25, puntret_lngtd,
26, kicking_fga,
27, kicking_fgyds,
28, kicking_totpfg,
29, kicking_xpmade,
30, kicking_xpmissed,
31, kicking_xpa,
32, kicking_xpb,
33, kicking_xptot,
34, punting_yds,
35, punting_avg,
36, punting_i20,
37, punting_lng,
38, defense_ast,
39, defense_sk,
40, defense_int,
41, defense_ffum,
42, fumbles_tot,
43, fumbles_rcv,
44, fumbles_trcv,
45, fumbles_yds,
46, fumbles_lost,
47, kickret_avg,
48, kickret_tds,
49, kickret_lng,
50, kickret_lngtd,
51, defense_tkl,
52, kickret_ret,
53, punting_pts,
